,gdp_growth_rate,unemployment_rate,inflation_rate,target_interest_rate,total_securities_holdings,loan_to_deposit_ratio,deposit_interest_rate,loans_interest_rate,consumer_loan_focus
0,0.021,0.039,0.005442760767200738,0.0174,-0.015221485820635317,-inf,-inf,-inf,-inf
1,0.025,0.038,0.0040170895846880494,0.0192,-0.02361195921869319,-inf,-inf,-inf,-inf
2,0.006,0.038,0.004072534825139362,0.0222,-0.0270744726118356,-inf,-inf,-inf,-inf
3,0.025,0.039,0.0026710352932795,0.024,-0.02896247505558458,-inf,-inf,-inf,-inf
4,0.034,0.036000000000000004,0.007344525743332442,0.024,-0.03181042839688053,-inf,-inf,-inf,-inf
5,0.048,0.036000000000000004,0.003298765509486934,0.0219,-0.025950657265732313,-inf,-inf,-inf,-inf
6,0.027999999999999997,0.036000000000000004,0.0070249014990881875,0.016399999999999998,0.014583993953485974,-inf,-inf,-inf,-inf
7,-0.055,0.038,0.003408456384166758,0.0126,0.059761840447714265,-inf,-inf,-inf,-inf
8,0.015,0.041,0.005,0.01,0.1,0.7,0.005,0.02,0.7
9,0.025,0.04,0.006,0.0075,0.05,0.7,0.0075,0.018,0.7
10,0.027,0.04,0.007,0.01,0.1,0.75,0.01,0.015,0.7
11,0.03,0.039,0.008,0.01,0.05,0.8,0.0085,0.0125,0.7
12,0.032,0.041,0.009,0.0125,-0.05,0.85,0.01,0.01,0.7
13,0.03,0.038,0.01,0.015,-0.02,0.85,0.012,0.009,0.75
14,0.03,0.038,0.011,0.0125,0.05,0.8,0.01,0.01,0.75
15,0.031,0.039,0.012,0.015,-0.02,0.85,0.009,0.0085,0.8
16,0.031,0.04,0.012,0.0175,-0.03,0.8,0.011,0.01,0.8
17,0.031,0.04,0.013,0.015,0.05,0.85,0.012,0.01,0.85
18,0.032,0.04,0.014,0.015,0.05,0.85,0.011,0.01,0.85
19,0.031,0.041,0.015,0.0125,0.1,0.8,0.011,0.009,0.85
20,0.032,0.04,0.016,0.015,-0.02,0.85,0.012,0.01,0.9
21,0.032,0.04,0.017,0.0125,0.05,0.85,0.012,0.0125,0.9
22,0.033,0.04,0.018,0.0175,0.05,0.85,0.012,0.01,0.9
23,0.031,0.04,0.019,0.02,-0.05,0.85,0.011,0.0125,0.9
